Day in Study       left hand       right hand
------------       ---------       ----------
0                    9.49             9.32 
1                    23.07            22.88
2                    22.14            21.64
3                    13.86            8.18 
4                    23.00            23.04
5                    21.63            21.71
6                    23.44            24.18
7                    23.37            23.45
8                    16.25            16.22
9                    23.03            22.41
10                   20.47            21.41
11                   20.59            20.30
12                   22.81            2.08 
13                   22.62            0.00 
14                   19.14            10.11
15                   20.83            20.36
16                   23.15            23.05
17                   22.36            22.49
18                   22.28            21.84
19                   22.48            22.32
20                   22.13            22.14
21                   22.16            22.06
22                   16.57            16.41
23                   22.54            22.73
24                   15.74            15.08
25                   20.10            4.37 
26                   22.40            22.60
27                   20.48            16.34
28                   22.04            24.45
29                   22.25            4.40 
30                   17.45            17.73
31                   22.44            21.63
32                   21.51            21.29
33                   15.97            23.00
34                   0.00             12.97
35                   0.00             22.22
36                   0.00             18.82
37                   0.00             12.60
38                   0.00             23.13
39                   0.00             19.00
40                   0.00             4.39 
41                   0.00             19.05
42                   0.00             22.55
43                   5.31             21.69
44                   2.47             22.49
45                   0.00             22.37
46                   0.00             14.29
47                   0.00             17.30
48                   0.00             22.55
49                   0.00             22.89
50                   3.00             15.61
51                   9.99             9.99 
