Day in Study       left hand       right hand
------------       ---------       ----------
0                    9.24             9.24 
1                    13.43            13.41
2                    13.82            13.81
3                    21.64            22.58
4                    21.85            21.85
5                    22.33            21.48
6                    7.67             17.92
7                    10.24            22.16
8                    19.14            18.62
9                    21.87            8.86 
10                   15.46            11.63
11                   7.03             6.23 
12                   21.56            0.34 
13                   16.92            0.00 
14                   24.00            0.00 
15                   8.90             0.00 
16                   9.17             2.16 
17                   13.52            0.48 
18                   9.00             20.15
19                   9.23             9.26 
20                   14.15            0.00 
21                   23.54            9.56 
22                   12.40            7.52 
23                   8.26             0.00 
24                   10.15            0.00 
25                   17.62            9.74 
26                   0.01             0.00 
27                   0.00             6.19 
28                   0.00             10.29
29                   3.09             6.43 
30                   0.22             0.22 
31                   0.00             11.63
32                   6.73             14.19
33                   13.23            10.09
34                   7.68             6.60 
35                   8.38             6.25 
36                   7.57             2.28 
37                   5.79             3.07 
38                   0.00             3.42 
39                   0.02             0.00 
