Day in Study       left hand       right hand
------------       ---------       ----------
0                    11.64            11.63
1                    17.74            17.75
2                    0.00             0.00 
3                    0.00             0.00 
4                    0.00             0.00 
5                    0.00             0.00 
6                    2.52             10.84
7                    22.16            22.15
8                    20.74            20.74
9                    15.91            15.89
10                   14.80            14.80
11                   22.69            22.70
12                   24.00            24.00
13                   20.74            20.74
14                   24.00            24.00
15                   20.00            20.00
16                   9.30             8.95 
17                   14.14            12.37
18                   24.00            0.00 
19                   20.00            0.00 
20                   17.22            16.09
21                   20.00            9.98 
22                   0.68             0.00 
23                   11.97            11.95
24                   22.46            22.46
25                   23.22            23.23
26                   20.00            24.00
27                   19.51            22.55
28                   10.47            10.47
29                   20.00            20.00
30                   16.76            16.76
31                   17.60            17.62
32                   0.00             0.00 
33                   11.92            11.92
34                   20.28            20.28
35                   13.61            13.61
36                   21.57            21.57
37                   10.27            10.27
38                   22.64            22.62
39                   21.14            21.13
40                   24.00            24.00
41                   13.72            20.00
42                   0.00             1.65 
43                   0.41             0.41 
44                   16.21            16.21
45                   19.30            19.30
46                   18.70            18.70
47                   20.00            20.00
48                   20.95            20.95
49                   0.58             0.58 
50                   0.50             0.50 
51                   23.98            24.00
52                   8.42             8.41 
53                   0.00             0.00 
54                   0.00             0.00 
55                   13.04            13.04
