Day in Study       left hand       right hand
------------       ---------       ----------
0                    11.46            11.34
1                    22.98            23.26
2                    23.14            23.15
3                    22.20            23.12
4                    23.05            23.03
5                    23.28            23.27
6                    22.53            22.65
7                    22.85            23.50
8                    22.02            22.02
9                    22.61            22.66
10                   22.93            22.90
11                   19.26            19.55
12                   17.00            17.01
13                   20.75            20.64
14                   15.42            15.36
15                   21.87            21.87
16                   23.56            23.56
17                   16.89            22.93
18                   0.00             23.22
19                   0.00             23.15
20                   0.00             22.90
21                   0.00             8.66 
22                   0.00             0.00 
23                   0.00             7.04 
24                   0.00             22.78
25                   13.06            22.93
26                   23.36            23.36
27                   22.84            22.64
28                   23.30            23.32
29                   22.85            22.85
30                   23.29            23.31
31                   23.01            23.02
32                   20.80            20.82
33                   22.06            22.57
34                   22.89            22.87
35                   23.13            23.13
36                   23.06            23.10
37                   23.23            23.24
38                   22.92            22.97
39                   21.32            21.35
40                   23.28            23.29
41                   23.18            23.20
42                   21.20            21.20
43                   22.99            16.41
44                   22.53            0.00 
45                   23.17            0.00 
46                   22.81            0.00 
47                   18.91            0.00 
48                   22.88            0.00 
49                   23.61            0.00 
50                   22.91            0.00 
51                   23.57            0.00 
52                   23.58            0.00 
53                   20.80            0.00 
54                   19.66            12.79
55                   22.63            22.70
56                   22.88            22.89
57                   23.52            23.54
58                   22.43            22.36
59                   12.95            12.96
60                   0.00             0.00 
