Day in Study       left hand       right hand
------------       ---------       ----------
0                    8.01             8.03 
1                    23.01            23.28
2                    22.49            22.50
3                    23.28            23.07
4                    22.61            23.09
5                    22.89            22.12
6                    22.82            22.79
7                    23.02            22.72
8                    23.23            22.93
9                    23.42            23.23
10                   22.20            22.50
11                   22.65            22.62
12                   22.56            22.43
13                   22.77            23.06
14                   22.53            22.32
15                   23.15            23.43
16                   22.48            22.49
17                   22.64            21.18
18                   22.63            21.49
19                   22.48            22.63
20                   22.52            22.99
21                   23.18            22.77
22                   22.94            22.32
23                   22.56            22.61
24                   21.50            21.03
25                   22.58            22.57
26                   23.01            23.44
27                   22.88            22.59
28                   23.03            22.31
29                   22.61            23.04
30                   22.96            22.67
31                   22.71            22.96
32                   23.20            22.82
33                   23.32            22.49
34                   22.42            23.01
35                   23.18            22.94
36                   23.36            23.52
37                   22.80            21.74
38                   22.57            22.79
39                   10.08            22.29
40                   0.00             22.68
41                   0.00             23.01
42                   9.13             21.87
43                   23.19            22.88
44                   22.80            22.83
45                   20.74            19.75
46                   22.68            22.44
47                   23.19            22.83
48                   22.56            22.93
49                   22.86            23.21
50                   22.90            19.21
51                   22.39            0.83 
52                   22.55            0.00 
53                   22.29            0.00 
54                   22.06            0.00 
55                   23.11            0.00 
56                   11.14            0.00 
