Day in Study       left hand       right hand
------------       ---------       ----------
0                    0.00             0.00 
1                    0.00             0.00 
2                    0.00             0.00 
3                    0.00             0.00 
4                    9.10             9.10 
5                    15.66            15.69
6                    18.93            18.95
7                    22.59            22.61
8                    10.20            12.58
9                    0.00             0.00 
10                   0.00             0.00 
11                   12.05            0.00 
12                   21.47            0.00 
13                   17.74            0.00 
14                   18.78            12.41
15                   13.95            13.95
16                   22.14            22.16
17                   10.64            16.91
18                   0.00             17.75
19                   0.00             20.98
20                   0.00             9.74 
21                   0.00             10.35
22                   0.00             14.91
23                   0.00             8.73 
24                   0.00             0.00 
25                   0.00             0.00 
26                   0.00             0.00 
27                   0.00             0.00 
28                   0.00             0.00 
29                   0.00             0.00 
30                   0.00             0.00 
31                   0.00             0.00 
32                   0.00             0.00 
33                   0.00             0.00 
34                   0.00             0.00 
35                   0.00             0.00 
36                   0.00             0.00 
37                   0.00             0.00 
38                   0.00             0.00 
39                   13.63            0.63 
40                   23.34            22.26
41                   20.79            24.00
42                   17.90            5.60 
43                   18.61            13.72
44                   20.83            21.46
45                   22.73            20.00
46                   22.61            0.44 
47                   17.88            0.00 
48                   17.73            0.00 
49                   17.04            0.00 
50                   19.90            0.00 
51                   12.53            0.00 
52                   0.00             0.00 
53                   0.00             0.00 
54                   14.49            10.49
55                   22.05            5.21 
56                   24.00            23.57
57                   21.75            18.46
58                   19.36            14.56
59                   23.49            23.52
60                   5.76             16.43
61                   0.00             2.05 
