Day in Study       left hand       right hand
------------       ---------       ----------
0                    5.06             9.06 
1                    26.37            19.54
2                    23.78            17.00
3                    15.26            12.87
4                    0.00             12.03
5                    0.00             12.54
6                    0.00             24.00
7                    0.00             14.43
8                    0.16             20.40
9                    23.67            0.10 
10                   18.64            0.00 
11                   13.09            13.11
12                   14.89            17.91
13                   0.28             11.48
14                   0.00             23.61
15                   11.53            18.47
16                   12.53            17.44
17                   18.08            23.45
18                   21.64            18.79
19                   19.90            22.05
20                   13.02            8.66 
21                   23.47            23.46
22                   15.85            15.85
23                   16.86            23.99
24                   0.00             11.73
25                   0.00             23.76
26                   15.22            20.69
27                   10.79            15.05
28                   7.74             8.12 
29                   22.66            22.66
30                   23.02            23.09
31                   16.44            16.07
32                   0.00             0.00 
33                   16.31            16.32
34                   22.92            22.92
35                   22.82            22.82
36                   9.14             9.71 
37                   12.36            20.99
38                   18.82            18.81
39                   23.66            23.69
40                   12.29            5.97 
41                   11.92            16.36
42                   22.56            22.56
43                   22.87            22.87
44                   16.59            9.41 
45                   1.78             1.79 
46                   23.67            23.74
47                   21.21            21.20
48                   22.59            6.68 
49                   14.72            14.71
50                   23.04            16.46
51                   22.87            22.91
52                   10.40            20.36
53                   14.34            13.29
54                   23.63            23.67
55                   22.70            22.71
56                   10.17            22.25
57                   0.00             2.88 
