Day in Study       left hand       right hand
------------       ---------       ----------
0                    12.21            12.19
1                    21.58            21.50
2                    23.41            23.40
3                    21.48            21.57
4                    22.63            22.70
5                    23.10            23.14
6                    23.25            23.46
7                    22.17            8.70 
8                    10.84            0.00 
9                    0.00             0.00 
10                   0.00             0.00 
11                   0.00             0.00 
12                   4.46             0.00 
13                   23.10            14.06
14                   22.61            22.76
15                   23.36            23.37
16                   22.95            22.97
17                   21.12            16.70
18                   22.15            22.19
19                   22.70            23.10
20                   22.25            22.27
21                   21.18            21.16
22                   19.84            21.13
23                   23.19            13.89
24                   22.35            0.00 
25                   8.79             0.00 
26                   0.00             0.00 
27                   19.00            17.83
28                   22.75            23.12
29                   23.27            22.95
30                   15.62            8.77 
31                   22.92            0.00 
32                   19.69            0.00 
33                   22.19            0.00 
34                   23.02            0.00 
35                   21.74            0.00 
36                   23.64            0.00 
37                   22.40            0.51 
38                   23.03            0.00 
39                   22.60            0.00 
40                   23.68            1.38 
41                   21.05            21.03
42                   23.13            23.36
43                   16.20            23.43
44                   22.99            17.71
45                   14.41            5.71 
46                   19.85            21.73
47                   22.60            22.59
48                   20.64            20.65
49                   2.59             16.64
50                   14.49            0.93 
51                   17.90            0.00 
52                   23.13            10.22
53                   17.90            17.39
54                   12.06            12.05
