Day in Study       left hand       right hand
------------       ---------       ----------
0                    12.67            12.82
1                    11.22            21.62
2                    0.00             24.00
3                    0.00             0.99 
4                    0.00             0.00 
5                    0.00             0.00 
6                    0.00             0.00 
7                    0.00             0.00 
8                    0.00             0.00 
9                    0.00             0.00 
10                   0.00             0.00 
11                   0.00             0.00 
12                   12.95            12.94
13                   20.79            20.90
14                   13.95            19.46
15                   0.00             24.00
16                   0.00             12.37
17                   0.00             18.37
18                   0.00             22.60
19                   0.00             19.42
20                   0.18             23.28
21                   23.50            23.51
22                   22.28            22.17
23                   12.53            22.05
24                   4.30             21.93
25                   3.09             21.62
26                   8.83             14.08
27                   0.00             23.99
28                   1.69             12.43
29                   11.29            23.12
30                   8.86             19.53
31                   8.53             8.53 
32                   0.00             0.00 
33                   0.00             0.00 
34                   0.00             14.71
35                   8.89             23.22
36                   20.11            8.95 
37                   6.97             0.00 
38                   11.08            0.00 
39                   10.12            9.74 
40                   10.99            21.15
41                   7.54             23.35
42                   9.95             12.50
43                   0.00             0.00 
44                   7.30             14.81
45                   6.71             7.58 
46                   0.00             19.65
47                   6.25             1.98 
48                   11.80            0.00 
49                   8.20             0.00 
50                   0.62             0.00 
51                   9.10             0.00 
52                   14.70            0.00 
53                   8.86             0.00 
54                   14.92            6.98 
55                   12.47            9.60 
56                   7.50             23.03
57                   9.29             23.31
58                   3.77             14.81
59                   8.38             13.66
60                   10.27            13.34
61                   12.97            14.43
62                   1.88             0.90 
63                   8.39             0.00 
64                   0.00             0.00 
65                   0.00             0.00 
66                   0.00             0.00 
67                   1.89             2.50 
68                   6.07             1.52 
69                   14.01            0.00 
70                   10.10            0.00 
71                   14.72            0.00 
72                   7.04             0.00 
