Day in Study       left hand       right hand
------------       ---------       ----------
0                    8.19             8.23 
1                    22.81            17.12
2                    22.74            22.67
3                    18.85            18.57
4                    22.99            22.60
5                    22.63            22.21
6                    22.82            15.72
7                    23.15            22.86
8                    22.74            22.42
9                    22.65            22.87
10                   23.07            23.31
11                   23.15            22.70
12                   20.00            22.61
13                   24.46            21.98
14                   22.48            21.83
15                   22.37            22.31
16                   22.34            22.02
17                   23.12            22.85
18                   23.21            15.99
19                   22.82            22.88
20                   23.19            23.10
21                   9.69             21.67
22                   22.87            20.95
23                   23.15            19.57
24                   23.07            19.24
25                   22.85            19.29
26                   23.21            18.77
27                   16.39            17.76
28                   18.83            24.90
29                   21.61            22.19
30                   18.39            18.11
31                   21.53            24.32
32                   23.54            23.45
33                   21.87            19.89
34                   20.01            21.77
35                   22.97            22.28
36                   23.32            23.44
37                   22.51            17.45
38                   23.28            23.45
39                   22.76            21.66
40                   22.88            23.19
41                   22.95            19.97
42                   20.84            13.96
43                   24.00            24.00
44                   20.55            17.08
45                   19.31            17.49
46                   21.27            3.47 
47                   21.41            0.00 
48                   24.00            0.00 
49                   21.73            0.00 
50                   21.85            0.00 
51                   23.20            1.63 
52                   23.27            22.90
53                   24.00            24.00
54                   22.46            21.44
55                   12.47            12.47
