Day in Study       left hand       right hand
------------       ---------       ----------
0                    12.72            12.68
1                    22.88            22.86
2                    22.00            22.00
3                    21.10            21.51
4                    23.01            23.10
5                    22.90            18.86
6                    22.25            2.86 
7                    10.95            4.23 
8                    0.21             0.00 
9                    9.49             9.49 
10                   22.26            22.29
11                   19.48            21.49
12                   23.98            23.98
13                   21.26            21.39
14                   22.70            22.69
15                   19.98            19.98
16                   20.00            23.12
17                   18.24            23.65
18                   19.23            19.27
19                   23.06            22.49
20                   23.08            23.06
21                   22.66            22.78
22                   22.70            22.69
23                   22.83            22.83
24                   23.03            23.14
25                   22.44            22.44
26                   21.20            21.48
27                   22.10            22.25
28                   22.64            22.68
29                   22.26            22.32
30                   22.80            22.79
31                   23.03            23.31
32                   20.78            21.69
33                   22.55            22.82
34                   22.70            22.68
35                   19.84            19.85
36                   19.80            22.84
37                   22.12            22.20
38                   23.28            23.28
39                   23.14            23.14
40                   22.65            22.74
41                   22.36            22.32
42                   23.01            23.01
43                   21.35            21.35
44                   21.17            23.31
45                   21.57            21.82
46                   22.82            23.09
47                   22.71            22.70
48                   21.51            21.54
49                   20.66            20.65
50                   23.03            23.03
51                   22.19            22.11
52                   20.00            22.02
53                   21.79            20.00
54                   25.28            25.28
55                   19.92            19.88
56                   21.45            21.54
57                   11.50            11.49
