Day in Study       left hand       right hand
------------       ---------       ----------
0                    8.72             8.69 
1                    22.58            18.31
2                    23.09            22.98
3                    18.36            23.25
4                    22.70            22.88
5                    22.86            22.66
6                    16.75            20.40
7                    11.81            23.08
8                    22.00            23.56
9                    19.35            22.90
10                   20.93            21.15
11                   13.62            22.94
12                   20.34            20.51
13                   23.30            23.58
14                   22.99            23.59
15                   21.53            21.81
16                   22.89            21.72
17                   22.10            22.31
18                   22.88            23.15
19                   22.77            23.07
20                   23.09            22.60
21                   20.00            23.38
22                   23.32            23.45
23                   20.34            20.13
24                   21.66            21.99
25                   21.00            22.80
26                   23.70            22.84
27                   23.59            22.97
28                   20.37            21.05
29                   19.75            24.00
30                   23.26            21.80
31                   21.82            22.81
32                   23.30            13.59
33                   20.52            22.64
34                   22.52            23.23
35                   21.43            22.40
36                   23.33            23.57
37                   22.90            23.08
38                   22.42            22.66
39                   23.58            23.52
40                   23.22            19.92
41                   21.12            19.82
42                   16.81            23.26
43                   22.49            23.17
44                   20.45            20.59
45                   23.14            21.41
46                   23.23            21.29
47                   22.61            22.99
48                   10.69            23.01
49                   14.41            22.56
50                   20.39            21.20
51                   23.16            23.03
52                   20.80            22.41
53                   22.80            22.80
54                   22.32            22.27
55                   19.31            19.13
56                   19.97            19.98
57                   27.50            26.88
58                   13.99            13.38
