Day in Study       left hand       right hand
------------       ---------       ----------
0                    0.00             0.00 
1                    0.00             0.00 
2                    0.00             0.00 
3                    0.00             0.00 
4                    13.23            13.24
5                    19.83            19.83
6                    22.18            21.76
7                    21.86            22.39
8                    21.26            19.49
9                    20.64            12.66
10                   23.25            22.92
11                   21.32            21.07
12                   13.22            7.94 
13                   23.54            23.10
14                   22.57            13.54
15                   21.29            21.13
16                   22.24            14.98
17                   21.44            0.00 
18                   23.79            0.00 
19                   11.09            0.00 
20                   4.90             0.00 
21                   10.08            0.00 
22                   20.93            0.00 
23                   6.71             0.00 
24                   21.86            12.43
25                   21.78            21.68
26                   22.14            21.78
27                   23.15            22.35
28                   22.58            21.86
29                   22.20            21.96
30                   21.53            22.75
31                   10.98            22.28
32                   22.83            23.22
33                   22.98            22.80
34                   22.64            21.50
35                   22.89            22.45
36                   21.60            21.35
37                   21.38            22.84
38                   11.42            21.98
39                   20.24            21.95
40                   12.18            22.61
41                   22.73            22.38
42                   22.04            21.99
43                   21.17            21.09
44                   22.94            22.46
45                   23.84            23.69
46                   18.38            19.69
47                   0.00             1.24 
48                   2.03             0.00 
49                   0.00             0.00 
50                   0.00             0.00 
51                   0.00             0.00 
52                   0.00             0.00 
53                   0.00             0.00 
54                   0.00             0.00 
55                   0.00             0.00 
56                   0.00             0.00 
57                   0.00             0.00 
58                   0.00             0.00 
59                   0.00             0.20 
60                   0.00             0.00 
