Day in Study       left hand       right hand
------------       ---------       ----------
0                    8.73             0.00 
1                    7.50             0.00 
2                    4.13             3.77 
3                    19.78            8.08 
4                    7.16             11.26
5                    0.00             17.07
6                    19.27            18.18
7                    21.84            5.12 
8                    21.34            5.59 
9                    16.43            16.70
10                   11.85            10.68
11                   17.93            16.59
12                   5.28             13.51
13                   4.67             19.92
14                   17.26            18.09
15                   15.01            15.20
16                   4.10             14.48
17                   0.00             0.00 
18                   1.66             6.74 
19                   20.19            21.72
20                   21.53            22.38
21                   22.12            17.06
22                   21.58            20.59
23                   21.25            21.12
24                   22.52            20.54
25                   19.25            16.98
26                   20.50            19.19
27                   21.98            18.07
28                   19.63            0.00 
29                   18.77            0.00 
30                   22.63            0.00 
31                   23.28            0.00 
32                   22.16            11.63
33                   22.65            20.70
34                   18.49            18.08
35                   18.23            17.83
36                   21.85            21.56
37                   23.26            12.77
38                   21.88            15.47
39                   21.61            7.22 
40                   19.00            21.39
41                   27.27            24.00
42                   17.44            18.51
43                   17.75            22.33
44                   22.14            22.61
45                   10.02            17.16
46                   22.40            21.83
47                   20.00            21.38
48                   16.60            16.58
49                   18.79            6.37 
50                   16.43            0.00 
51                   22.41            19.85
52                   14.41            13.97
53                   27.68            21.98
54                   7.47             10.63
55                   3.71             9.73 
56                   0.00             0.00 
57                   0.00             0.00 
