Day in Study       left hand       right hand
------------       ---------       ----------
0                    10.81            0.32 
1                    19.84            10.22
2                    20.89            20.80
3                    23.67            23.19
4                    18.79            18.90
5                    19.41            18.84
6                    21.24            21.23
7                    19.38            19.16
8                    21.40            21.39
9                    18.99            19.03
10                   20.27            20.58
11                   20.76            20.74
12                   19.71            18.63
13                   18.97            19.08
14                   19.55            19.58
15                   19.78            8.70 
16                   16.30            6.54 
17                   19.72            20.18
18                   19.03            18.39
19                   20.48            20.36
20                   12.39            12.45
21                   23.00            23.45
22                   14.93            13.33
23                   20.50            10.08
24                   20.56            0.00 
25                   22.72            15.47
26                   20.96            18.92
27                   14.96            21.60
28                   21.46            19.55
29                   16.89            15.37
30                   21.58            19.34
31                   11.11            4.02 
32                   0.00             6.30 
33                   3.12             4.29 
34                   22.02            0.00 
35                   9.03             0.00 
36                   8.59             9.39 
37                   19.74            19.47
38                   22.22            22.02
39                   21.15            17.21
40                   8.39             15.18
41                   15.32            3.70 
42                   7.14             1.65 
43                   15.78            10.31
44                   15.83            15.44
45                   11.38            5.71 
46                   14.72            7.93 
47                   5.41             4.99 
48                   20.21            18.51
49                   10.68            10.89
50                   22.22            22.98
51                   21.47            10.44
52                   7.60             0.00 
