Day in Study       left hand       right hand
------------       ---------       ----------
0                    6.56             8.79 
1                    23.33            22.97
2                    22.75            22.81
3                    23.02            22.92
4                    22.29            16.79
5                    22.16            18.80
6                    21.25            17.77
7                    22.34            20.34
8                    23.28            22.73
9                    22.20            22.09
10                   22.79            21.09
11                   22.60            19.51
12                   22.56            20.60
13                   22.21            21.46
14                   24.00            22.36
15                   22.25            20.47
16                   22.98            19.52
17                   22.12            19.97
18                   23.88            23.88
19                   22.62            21.17
20                   22.29            21.78
21                   22.47            19.48
22                   22.21            18.53
23                   24.00            22.83
24                   20.99            22.02
25                   24.00            23.37
26                   22.92            22.63
27                   18.41            15.69
28                   13.68            0.00 
29                   22.69            0.00 
30                   23.03            0.00 
31                   23.40            1.13 
32                   22.10            12.75
33                   20.00            0.00 
34                   24.56            0.00 
35                   22.97            0.00 
36                   22.03            0.00 
37                   22.79            0.00 
38                   23.12            0.00 
39                   23.08            0.00 
40                   22.06            0.00 
41                   23.34            0.00 
42                   22.41            0.00 
43                   22.20            0.00 
44                   23.97            0.00 
45                   19.68            0.00 
46                   23.62            0.00 
47                   22.76            0.00 
48                   23.77            0.00 
49                   20.56            0.00 
50                   21.94            0.00 
51                   22.81            0.00 
52                   15.28            0.00 
53                   0.00             0.00 
