Day in Study       left hand       right hand
------------       ---------       ----------
0                    0.00             4.84 
1                    0.00             27.18
2                    0.00             17.14
3                    0.00             1.70 
4                    0.00             0.00 
5                    0.00             0.00 
6                    0.00             0.00 
7                    0.00             0.00 
8                    17.93            0.00 
9                    22.58            0.00 
10                   22.37            0.00 
11                   20.99            0.00 
12                   22.49            0.00 
13                   22.25            0.00 
14                   20.70            0.00 
15                   22.37            0.00 
16                   21.76            0.00 
17                   22.54            0.00 
18                   21.25            0.00 
19                   21.38            0.00 
20                   21.85            0.00 
21                   21.19            0.00 
22                   22.28            18.20
23                   21.14            21.13
24                   22.45            22.46
25                   21.90            21.90
26                   22.58            22.59
27                   26.49            26.50
28                   18.16            18.15
29                   26.85            26.83
30                   22.90            22.90
31                   17.92            17.92
32                   22.74            22.76
33                   21.68            21.67
34                   20.33            20.29
35                   22.56            22.56
36                   3.83             22.40
37                   0.00             20.86
38                   0.00             24.96
39                   0.00             21.46
40                   0.00             18.26
41                   0.00             21.51
42                   0.00             26.19
43                   0.00             18.18
44                   19.36            22.89
45                   9.81             9.81 
46                   7.47             10.41
47                   22.23            22.23
48                   25.73            25.70
49                   22.76            0.17 
50                   19.34            0.00 
51                   22.32            0.00 
52                   26.05            0.00 
53                   20.59            0.00 
54                   13.88            0.00 
