Day in Study       left hand       right hand
------------       ---------       ----------
0                    7.41             7.28 
1                    1.08             1.09 
2                    0.00             0.00 
3                    0.00             0.00 
4                    0.00             0.00 
5                    0.00             0.00 
6                    11.33            11.29
7                    10.66            10.30
8                    17.82            17.75
9                    23.14            14.87
10                   8.92             7.58 
11                   4.91             4.13 
12                   15.67            14.95
13                   9.71             9.71 
14                   13.44            13.42
15                   2.73             2.83 
16                   0.00             0.00 
17                   0.00             0.00 
18                   0.00             0.00 
19                   0.00             0.00 
20                   0.00             0.00 
21                   0.00             0.00 
22                   0.00             0.00 
23                   0.00             0.00 
24                   0.00             0.00 
25                   0.00             0.00 
26                   0.00             0.00 
27                   0.00             0.00 
28                   14.06            8.97 
29                   7.36             4.61 
30                   1.29             1.29 
31                   19.62            24.00
32                   13.72            19.63
33                   0.00             4.73 
34                   0.00             0.00 
35                   0.00             0.00 
36                   0.00             0.00 
37                   2.49             2.50 
38                   15.14            7.78 
39                   0.00             6.18 
40                   0.00             22.04
41                   0.00             14.48
42                   0.00             2.73 
43                   8.39             17.68
44                   2.39             0.28 
45                   0.00             0.00 
46                   7.63             0.52 
47                   20.75            0.00 
48                   23.45            0.00 
49                   7.22             0.00 
50                   0.00             0.00 
51                   0.00             1.42 
52                   0.00             23.61
53                   0.00             12.41
54                   0.00             0.00 
55                   0.00             0.00 
56                   0.00             0.00 
57                   0.00             0.00 
58                   0.00             0.00 
59                   0.00             0.00 
