Day in Study       left hand       right hand
------------       ---------       ----------
0                    14.29            14.27
1                    23.00            23.02
2                    21.87            22.02
3                    0.71             23.51
4                    22.46            23.30
5                    20.77            20.77
6                    19.00            19.00
7                    19.70            19.71
8                    24.39            24.39
9                    10.79            10.78
10                   20.92            20.93
11                   21.53            21.54
12                   14.82            14.82
13                   20.00            20.00
14                   26.32            26.32
15                   22.50            22.50
16                   24.00            24.00
17                   20.80            20.80
18                   24.00            24.00
19                   0.26             22.46
20                   10.99            19.04
21                   13.37            19.39
22                   25.24            25.21
23                   22.44            22.44
24                   24.00            24.00
25                   19.14            19.13
26                   26.15            7.36 
27                   19.99            0.00 
28                   26.52            0.00 
29                   11.88            0.00 
30                   20.00            0.00 
31                   24.13            0.38 
32                   19.43            15.84
33                   25.77            21.97
34                   24.00            24.00
35                   22.63            22.63
36                   24.00            24.00
37                   2.20             12.88
38                   24.00            24.00
39                   20.14            20.15
40                   20.00            20.00
41                   25.75            25.75
42                   24.00            24.00
43                   10.57            15.83
44                   20.00            20.00
45                   26.30            26.30
46                   24.00            23.98
47                   14.17            14.13
48                   20.00            20.00
49                   26.66            26.66
50                   24.00            24.00
51                   22.08            22.08
52                   23.70            23.67
53                   22.22            22.24
54                   22.42            22.42
55                   14.67            14.67
