Day in Study       left hand       right hand
------------       ---------       ----------
0                    9.43             9.27 
1                    18.99            18.96
2                    2.69             2.69 
3                    0.00             0.00 
4                    0.00             0.00 
5                    0.00             0.00 
6                    0.00             0.00 
7                    0.00             0.00 
8                    0.00             0.00 
9                    0.00             0.00 
10                   0.00             0.00 
11                   0.00             0.00 
12                   0.00             0.00 
13                   0.00             0.00 
14                   0.00             0.00 
